date,Vrms,Irms,Power
Sat Jan 16 2016 00:00:00 GMT-0800 (PST),120.435929744,1.09933243828,132.399124302
Sat Jan 16 2016 00:02:00 GMT-0800 (PST),117.369935872,0.848579605181,99.5977338423
Sat Jan 16 2016 00:04:00 GMT-0800 (PST),121.041533469,1.10890492935,134.223553119
Sat Jan 16 2016 00:06:00 GMT-0800 (PST),120.901821957,1.1242449667,135.923264799
Sat Jan 16 2016 00:08:00 GMT-0800 (PST),116.33365194,0.743063437022,86.4432832519
Sat Jan 16 2016 00:10:00 GMT-0800 (PST),120.346978098,0.756561282487,91.0498640931
Sat Jan 16 2016 00:12:00 GMT-0800 (PST),117.982038778,1.36697516782,161.278517259
Sat Jan 16 2016 00:14:00 GMT-0800 (PST),117.400454803,0.903044847609,106.017875817
Sat Jan 16 2016 00:16:00 GMT-0800 (PST),122.39945276,0.79382816898,97.1641334685
Sat Jan 16 2016 00:18:00 GMT-0800 (PST),121.781830921,0.753525231537,91.7656823419
Sat Jan 16 2016 00:20:00 GMT-0800 (PST),121.827531993,0.840909017515,102.445870234
Sat Jan 16 2016 00:22:00 GMT-0800 (PST),119.902364249,1.02648371058,123.077823762
Sat Jan 16 2016 00:24:00 GMT-0800 (PST),121.605685797,1.46408950884,178.041608791
Sat Jan 16 2016 00:26:00 GMT-0800 (PST),118.08583287,1.78685560766,211.002332649
Sat Jan 16 2016 00:28:00 GMT-0800 (PST),118.827672382,1.29026867465,153.319623356
Sat Jan 16 2016 00:30:00 GMT-0800 (PST),122.412874068,1.81402592808,222.060127491
Sat Jan 16 2016 00:32:00 GMT-0800 (PST),121.982961972,1.12273047474,136.953988805
Sat Jan 16 2016 00:34:00 GMT-0800 (PST),123.512799955,1.36143033597,168.154072739
Sat Jan 16 2016 00:36:00 GMT-0800 (PST),120.072138413,1.87843947082,225.548244141
Sat Jan 16 2016 00:38:00 GMT-0800 (PST),120.054613782,1.70962295004,205.24812298
Sat Jan 16 2016 00:40:00 GMT-0800 (PST),119.504598791,2.1742308902,259.830590212
Sat Jan 16 2016 00:42:00 GMT-0800 (PST),121.683733663,1.78767684298,217.531192838
Sat Jan 16 2016 00:44:00 GMT-0800 (PST),117.694643516,2.53221586673,298.028243742
Sat Jan 16 2016 00:46:00 GMT-0800 (PST),121.285892552,2.41579500098,293.001852917
Sat Jan 16 2016 00:48:00 GMT-0800 (PST),118.881279363,1.61932549082,192.507486053
Sat Jan 16 2016 00:50:00 GMT-0800 (PST),119.74024303,1.78349762143,213.556438633
Sat Jan 16 2016 00:52:00 GMT-0800 (PST),118.443761857,2.49895302003,295.985396396
Sat Jan 16 2016 00:54:00 GMT-0800 (PST),120.322939665,2.3403980603,281.603574602
Sat Jan 16 2016 00:56:00 GMT-0800 (PST),118.449763435,2.41153084321,285.645257894
Sat Jan 16 2016 00:58:00 GMT-0800 (PST),123.957769547,1.70042234563,210.780561252
Sat Jan 16 2016 01:00:00 GMT-0800 (PST),120.615099268,2.5296848716,305.118191905
Sat Jan 16 2016 01:02:00 GMT-0800 (PST),118.825375506,2.31374909977,274.932105606
Sat Jan 16 2016 01:04:00 GMT-0800 (PST),118.845201627,1.92347413628,228.59567155
Sat Jan 16 2016 01:06:00 GMT-0800 (PST),120.56122113,2.48284822454,299.335213831
Sat Jan 16 2016 01:08:00 GMT-0800 (PST),116.765758386,1.65719658602,193.503816161
Sat Jan 16 2016 01:10:00 GMT-0800 (PST),120.218307589,2.2427900401,269.624422897
Sat Jan 16 2016 01:12:00 GMT-0800 (PST),118.969445917,1.9272291153,229.281380002
Sat Jan 16 2016 01:14:00 GMT-0800 (PST),120.695225742,2.59312086566,312.977308259
Sat Jan 16 2016 01:16:00 GMT-0800 (PST),116.720203191,2.52565371036,294.794814264
Sat Jan 16 2016 01:18:00 GMT-0800 (PST),121.462336119,2.03862237148,247.615835703
Sat Jan 16 2016 01:20:00 GMT-0800 (PST),117.962006102,2.53126879586,298.593545142
Sat Jan 16 2016 01:22:00 GMT-0800 (PST),117.828792714,2.07150880376,244.083381444
Sat Jan 16 2016 01:24:00 GMT-0800 (PST),122.402050277,2.20584402398,269.999831125
Sat Jan 16 2016 01:26:00 GMT-0800 (PST),120.274183665,1.72193110116,207.103857519
Sat Jan 16 2016 01:28:00 GMT-0800 (PST),122.447357516,1.70056599062,208.229811833
Sat Jan 16 2016 01:30:00 GMT-0800 (PST),118.805510099,1.89106641443,224.669109999
Sat Jan 16 2016 01:32:00 GMT-0800 (PST),119.072412675,2.23949485152,266.662055144
Sat Jan 16 2016 01:34:00 GMT-0800 (PST),115.934811824,1.54287448705,178.872863324
Sat Jan 16 2016 01:36:00 GMT-0800 (PST),119.920757822,1.21557235126,145.772357551
Sat Jan 16 2016 01:38:00 GMT-0800 (PST),122.008155961,2.18785022069,266.935570946
Sat Jan 16 2016 01:40:00 GMT-0800 (PST),118.46178415,2.17222434954,257.325572021
Sat Jan 16 2016 01:42:00 GMT-0800 (PST),123.434271372,1.42266575316,175.605710647
Sat Jan 16 2016 01:44:00 GMT-0800 (PST),119.328870205,1.45686456187,173.846002209
Sat Jan 16 2016 01:46:00 GMT-0800 (PST),120.893379675,1.9630128148,237.315253527
Sat Jan 16 2016 01:48:00 GMT-0800 (PST),121.949509091,1.37379327483,167.533415457
Sat Jan 16 2016 01:50:00 GMT-0800 (PST),121.905493707,1.33910903137,163.244747597
Sat Jan 16 2016 01:52:00 GMT-0800 (PST),120.590060295,1.23126025785,148.477748732
Sat Jan 16 2016 01:54:00 GMT-0800 (PST),118.266418071,1.66260494044,196.630330973
Sat Jan 16 2016 01:56:00 GMT-0800 (PST),119.665112218,1.95041069067,233.39611417
Sat Jan 16 2016 01:58:00 GMT-0800 (PST),121.548918656,1.81960003574,221.170416729
Sat Jan 16 2016 02:00:00 GMT-0800 (PST),120.418744861,1.67043165018,201.15128269
Sat Jan 16 2016 02:02:00 GMT-0800 (PST),120.90670158,1.3182155662,159.38109608
Sat Jan 16 2016 02:04:00 GMT-0800 (PST),117.553855964,1.51751070194,178.38923448
Sat Jan 16 2016 02:06:00 GMT-0800 (PST),121.259865319,2.02065693683,245.024588015
Sat Jan 16 2016 02:08:00 GMT-0800 (PST),118.922459191,2.0559213026,244.495217209
Sat Jan 16 2016 02:10:00 GMT-0800 (PST),114.462671754,2.32221197973,265.806587579
Sat Jan 16 2016 02:12:00 GMT-0800 (PST),125.676832451,1.65420968032,207.895832832
Sat Jan 16 2016 02:14:00 GMT-0800 (PST),120.142809545,1.33353186532,160.214264916
Sat Jan 16 2016 02:16:00 GMT-0800 (PST),119.370204938,2.16505621574,258.443204174
Sat Jan 16 2016 02:18:00 GMT-0800 (PST),120.778861861,1.81508376959,219.223751873
Sat Jan 16 2016 02:20:00 GMT-0800 (PST),117.473028456,2.05510270945,241.419139067
